name,threshold,best.model.step,interpolation.last,extrapolation.last,interpolation.step.solved,extrapolation.step.solved,sparse.error.max,solved,model,operation,seed,size
reregualizedlinearnac_op-sub_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s91_h2_z2_lr-adam-0.00100-0.0,1.38437045113029e-8,6,2.1026696009340817e-12,2.0057670802042793e-11,4000,5000,0.4982430338859558,TRUE,NAU,$\bm{-}$,91,5001
reregualizedlinearnac_op-sub_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s92_h2_z2_lr-adam-0.00100-0.0,1.38437045113029e-8,4790,2.049125842965016e-12,2.779648733408635e-11,4000,5000,1.0677701993699884e-6,TRUE,NAU,$\bm{-}$,92,5001
reregualizedlinearnac_op-sub_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s93_h2_z2_lr-adam-0.00100-0.0,1.38437045113029e-8,3994,2.5018138602450612e-12,3.600523004743117e-11,4000,5000,1.0415479891889845e-6,TRUE,NAU,$\bm{-}$,93,5001
reregualizedlinearnac_op-sub_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s94_h2_z2_lr-adam-0.00100-0.0,1.38437045113029e-8,2126,2.1741373892186777e-12,3.367299494794196e-11,5000,5000,9.225590815731266e-7,TRUE,NAU,$\bm{-}$,94,5001
reregualizedlinearnac_op-sub_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s95_h2_z2_lr-adam-0.00100-0.0,1.38437045113029e-8,6,2.4392256877531215e-12,2.9040082838438508e-11,4000,5000,0.4928321838378906,TRUE,NAU,$\bm{-}$,95,5001
reregualizedlinearnac_op-sub_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s96_h2_z2_lr-adam-0.00100-0.0,1.38437045113029e-8,7,2.524734761533143e-12,2.9146771801658033e-11,5000,5000,0.48274073004722595,TRUE,NAU,$\bm{-}$,96,5001
reregualizedlinearnac_op-sub_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s97_h2_z2_lr-adam-0.00100-0.0,1.38437045113029e-8,808,2.273379184555835e-12,3.4143642774209226e-11,4000,5000,9.955380164683447e-7,TRUE,NAU,$\bm{-}$,97,5001
reregualizedlinearnac_op-sub_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s98_h2_z2_lr-adam-0.00100-0.0,1.38437045113029e-8,6,1.965765224209992e-12,2.1094417879119476e-11,4000,5000,0.499695748090744,TRUE,NAU,$\bm{-}$,98,5001
reregualizedlinearnac_op-sub_oob-c_rs-linear-linear_eps-0_rl-5000-50000_r-0.01-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s99_h2_z2_lr-adam-0.00100-0.0,1.38437045113029e-8,6,1.7772899037898915e-12,2.2398411250734718e-11,4000,4000,0.4985198378562927,TRUE,NAU,$\bm{-}$,99,5001
reregualizedlinearnac-nac-m_op-add_oob-c_rs-linear-linear_eps-0_rl-1000000-2000000_r-10-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s0_h2_z2,1.47861742158438e-5,979,8.577207918278873e-4,64.32728576660156,NA,NA,0.36992600560188293,FALSE,NMU,$\bm{+}$,0,5001
reregualizedlinearnac-nac-m_op-add_oob-c_rs-linear-linear_eps-0_rl-1000000-2000000_r-10-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s1_h2_z2,1.47861742158438e-5,1000,8.831039885990322e-4,65.39769744873047,NA,NA,0.3760022521018982,FALSE,NMU,$\bm{+}$,1,5001
reregualizedlinearnac-nac-m_op-add_oob-c_rs-linear-linear_eps-0_rl-1000000-2000000_r-10-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s10_h2_z2,1.47861742158438e-5,979,8.66937858518213e-4,68.8419418334961,NA,NA,0.3698731064796448,FALSE,NMU,$\bm{+}$,10,5001
reregualizedlinearnac-nac-m_op-add_oob-c_rs-linear-linear_eps-0_rl-1000000-2000000_r-10-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s11_h2_z2,1.47861742158438e-5,953,8.911673212423921e-4,66.19795227050781,NA,NA,0.3937298655509949,FALSE,NMU,$\bm{+}$,11,5001
reregualizedlinearnac-nac-m_op-add_oob-c_rs-linear-linear_eps-0_rl-1000000-2000000_r-10-0-1_i-1-2_e-2-6_z-100-0.25-0.5_b128_s12_h2_z2,1.47861742158438e-5,977,8.829810540191829e-4,66.2166519165039,NA,NA,0.37396350502967834,FALSE,NMU,$\bm{+}$,12,5001
