model,operation,success.rate.mean,success.rate.lower,success.rate.upper,converged.at.median,converged.at.mean,converged.at.lower,converged.at.upper,sparse.error.mean,sparse.error.lower,sparse.error.upper
NAU,$\bm{-}$,1,0.9630065017930143,1,5000,161802.26627771766,145642.65406155624,178534.2300161707,0.0662117980934571,0.047488572058398494,0.09155987779607279
NAU,$\sqrt{z}$,0,0,0.03699349820698566,NA,NaN,NA,NA,NaN,NA,NA
NAU,$z^2$,0,0,0.03699349820698566,NA,NaN,NA,NA,NaN,NA,NA
NMU,$\bm{\times}$,0.98,0.9299882092714561,0.9944980324498376,1434500,1520970.3448828245,1455520.983798807,1569098.1494700755,4.205610505833851e-7,3.9130444272148634e-7,4.4981765844528386e-7
NMU,$\bm{\mathbin{/}}$,0,0,0.03699349820698566,NA,NaN,NA,NA,NaN,NA,NA
NMU,$\bm{+}$,0,0,0.03699349820698566,NA,NaN,NA,NA,NaN,NA,NA
NMU,$\bm{-}$,0.56,0.4622810465167698,0.653279733698392,1001000,1001928.5714300274,1001346.447393834,1002510.7259494235,3.355361972794758e-4,3.0936076833677095e-4,3.679466858539988e-4
NMU,$\sqrt{z}$,0,0,0.03699349820698566,NA,NaN,NA,NA,NaN,NA,NA
NMU,$z^2$,1,0.9630065017930143,1,1219500,1253612.1159969568,1217468.253974567,1284627.4107334148,3.6637595790409705e-5,0,9.06801644473495e-5
ReLU,$\bm{\times}$,0,0,0.03699349820698566,NA,NaN,NA,NA,NaN,NA,NA
ReLU,$\bm{\mathbin{/}}$,0,0,0.03699349820698566,NA,NaN,NA,NA,NaN,NA,NA
ReLU,$\bm{+}$,0.62,0.5220975529551107,0.7090240074752127,61500,76368.12911357463,69396.69931785313,84715.25355253878,0.24532662355169033,0.24296164611681312,0.2476926665125551
ReLU,$\bm{-}$,0,0,0.03699349820698566,NA,NaN,NA,NA,NaN,NA,NA
ReLU,$\sqrt{z}$,0,0,0.03699349820698566,NA,NaN,NA,NA,NaN,NA,NA
ReLU,$z^2$,0,0,0.03699349820698566,NA,NaN,NA,NA,NaN,NA,NA
ReLU6,$\bm{\times}$,0,0,0.03699349820698566,NA,NaN,NA,NA,NaN,NA,NA
ReLU6,$\bm{\mathbin{/}}$,0,0,0.03699349820698566,NA,NaN,NA,NA,NaN,NA,NA
ReLU6,$\bm{+}$,0,0,0.03699349820698566,NA,NaN,NA,NA,NaN,NA,NA
ReLU6,$\bm{-}$,0,0,0.03699349820698566,NA,NaN,NA,NA,NaN,NA,NA
ReLU6,$\sqrt{z}$,0,0,0.03699349820698566,NA,NaN,NA,NA,NaN,NA,NA
ReLU6,$z^2$,0,0,0.03699349820698566,NA,NaN,NA,NA,NaN,NA,NA
