Wall time,Step,Value
1556372741.945438,42,359.3839416503906
1556372742.021557,94,337.4501647949219
1556372742.133783,167,339.0583801269531
1556372742.2350879,229,350.60064697265625
1556372742.2428658,234,350.1625061035156
1556372742.300228,273,334.5307922363281
1556372742.3627489,310,345.1351318359375
1556372742.3742871,318,356.05029296875
1556372742.608254,474,339.6794128417969
1556372742.705169,536,345.10736083984375
1556372742.772821,579,332.2430114746094
1556372742.783083,586,348.5537414550781
1556372742.852229,634,326.015380859375
1556372742.8713548,647,347.1022033691406
1556372742.9621818,714,328.96783447265625
1556372743.1125388,808,325.36328125
1556372743.446414,1014,294.6989440917969
1556372743.533581,1066,313.8520812988281
1556372743.96207,1333,303.4952087402344
1556372743.968858,1337,308.3315124511719
1556372744.040967,1385,294.7423095703125
1556372744.051083,1392,314.4259033203125
1556372744.111924,1436,289.46844482421875
1556372744.471275,1691,294.8612365722656
1556372744.5328388,1734,292.17047119140625
1556372744.53707,1737,298.8904724121094
1556372744.728095,1877,293.7962646484375
1556372744.7869818,1917,288.6103210449219
1556372744.953844,2036,293.0648193359375
1556372745.036702,2096,274.6809387207031
1556372745.1786501,2199,275.28118896484375
1556372745.264009,2262,271.9532470703125
1556372745.3261042,2307,272.8640441894531
1556372745.438394,2389,272.703369140625
1556372745.502113,2436,269.2995910644531
1556372745.568817,2485,264.4217834472656
1556372745.5701828,2486,278.9486999511719
1556372745.586551,2498,264.7809753417969
1556372745.63237,2532,260.4438781738281
1556372745.839398,2685,277.34405517578125
1556372745.915605,2740,278.5152893066406
1556372746.323492,3038,238.73367309570312
1556372746.5839949,3230,246.11135864257812
1556372746.6055071,3246,234.80014038085938
1556372746.68533,3305,241.84632873535156
1556372747.10881,3618,239.76220703125
1556372747.1114519,3620,247.1177215576172
1556372747.179008,3670,236.03797912597656
1556372747.2751548,3741,228.2633819580078
1556372747.375861,3814,249.14227294921875
1556372747.385282,3821,227.82273864746094
1556372747.5301208,3928,232.72085571289062
1556372747.568191,3956,213.34063720703125
1556372747.6858702,4036,243.56179809570312
1556372747.9447858,4196,204.00045776367188
1556372748.1429381,4317,201.1791534423828
1556372748.26283,4400,184.4369659423828
1556372748.3912451,4492,211.25344848632812
1556372748.414837,4509,213.25772094726562
1556372748.658438,4676,200.2017059326172
1556372748.814974,4788,184.81759643554688
1556372749.092878,4971,199.7283172607422
1556372749.308512,5106,207.01141357421875
1556372749.352549,5134,173.6474151611328
1556372749.686207,5345,176.14796447753906
1556372749.707846,5359,184.87564086914062
1556372749.9884312,5549,192.81370544433594
1556372750.164168,5679,190.2157440185547
1556372750.224014,5723,182.6536102294922
1556372750.3417192,5808,174.11712646484375
1556372750.424064,5864,197.1947784423828
1556372750.434182,5871,157.6140594482422
1556372750.484679,5907,179.5182342529297
1556372750.602978,5990,175.99732971191406
1556372750.891802,6200,162.4067840576172
1556372750.917683,6219,183.6821746826172
1556372751.013372,6289,152.72256469726562
1556372751.4512079,6574,137.5512237548828
1556372751.49399,6603,163.67938232421875
1556372751.63938,6699,193.9100341796875
1556372751.657538,6711,161.44955444335938
1556372751.862835,6854,177.19219970703125
1556372752.0141451,6966,171.74290466308594
1556372752.2776132,7155,158.0070037841797
1556372752.604824,7382,174.06961059570312
1556372752.715422,7460,171.91677856445312
1556372752.719912,7463,141.26817321777344
1556372752.7880478,7511,151.373291015625
1556372753.1774762,7788,147.41204833984375
1556372753.191041,7798,137.1736297607422
1556372753.2385511,7833,141.17697143554688
1556372753.455443,7991,133.41961669921875
1556372753.5612988,8066,126.87069702148438
1556372753.716417,8180,140.25576782226562
1556372753.772078,8221,164.60597229003906
1556372753.96751,8363,136.55751037597656
1556372753.987537,8377,129.80674743652344
1556372754.1555042,8498,137.17205810546875
1556372754.169214,8508,138.8547821044922
1556372754.295132,8601,140.40084838867188
1556372754.6733608,8878,123.74667358398438
1556372754.746996,8928,116.73885345458984
1556372754.756841,8935,119.84291076660156
1556372754.8488262,8993,133.37869262695312
1556372755.263155,9260,116.66256713867188
1556372755.548903,9468,138.0635986328125
1556372755.672968,9554,136.8339080810547
1556372755.690722,9567,122.92811584472656
1556372755.890296,9698,139.22735595703125
1556372756.122734,9843,127.4670639038086
1556372756.2136881,9907,126.44916534423828
1556372756.809758,10276,117.39044952392578
1556372756.8194518,10283,109.22994232177734
1556372756.9912739,10399,121.19570922851562
1556372757.111388,10479,120.39118194580078
1556372757.172348,10522,127.23686218261719
1556372757.297158,10607,115.68498229980469
1556372757.520277,10757,133.83746337890625
1556372757.55235,10780,105.4096908569336
1556372757.7376032,10902,140.92689514160156
1556372757.742435,10905,112.81314086914062
1556372757.834017,10966,109.854736328125
1556372757.8474948,10974,111.87104797363281
1556372757.918067,11020,117.24827575683594
1556372758.0303118,11102,124.78829956054688
1556372758.485185,11419,103.73632049560547
1556372758.561995,11472,109.39175415039062
1556372758.651296,11532,96.61309051513672
1556372758.702975,11566,90.05635070800781
1556372758.879633,11685,116.96514129638672
1556372758.990803,11759,103.0760726928711
1556372759.2980769,11969,102.80675506591797
1556372759.304842,11974,104.23273468017578
1556372759.607305,12164,94.68858337402344
1556372759.792981,12290,124.50513458251953
1556372760.401935,12671,89.4764633178711
1556372760.80475,12877,103.93824005126953
1556372760.907361,12939,94.11162567138672
1556372761.056375,13034,99.9525375366211
1556372761.098912,13061,85.41500091552734
1556372761.166327,13109,87.52207946777344
1556372761.78069,13402,83.13027954101562
1556372761.984988,13546,86.25144958496094
1556372762.057178,13597,75.42870330810547
1556372762.089677,13620,73.81509399414062
1556372762.3661828,13810,58.7728157043457
1556372762.471627,13884,76.95098876953125
1556372762.8144882,14080,57.03952407836914
1556372763.02059,14221,66.7973403930664
1556372763.130856,14294,50.29316329956055
1556372763.196249,14338,49.40089797973633
1556372763.367467,14447,39.89845657348633
1556372763.673406,14638,30.0313720703125
1556372763.7532852,14668,28.174179077148438
1556372763.796963,14687,25.123870849609375
1556372764.046102,14779,20.40642547607422
1556372764.098001,14809,24.94420051574707
1556372764.2073731,14873,23.22160530090332
1556372764.2346098,14892,26.194536209106445
1556372764.92206,15324,15.511346817016602
1556372765.163457,15473,11.25575065612793
1556372765.166136,15475,12.37648868560791
1556372765.211228,15507,11.29365062713623
1556372765.541065,15740,10.078469276428223
1556372765.574291,15764,11.690629005432129
1556372766.0760581,16116,9.04232120513916
1556372766.260691,16249,10.135944366455078
1556372766.362908,16321,12.120159149169922
1556372766.897007,16697,10.338339805603027
